address,latitude,longitude,matched_address,postal_code,api_used
1110033 東京都台東区花川戸1-10-2,35.71391,139.799429,東京都台東区花川戸,1110033,HeartRails Geo API
3270831 栃木県佐野市浅沼町814,36.309327,139.588259,栃木県佐野市浅沼町,3270831,HeartRails Geo API
4660044 愛知県名古屋市昭和区桜山町4-71-5,35.142571,136.933234,愛知県名古屋市昭和区桜山町,4660044,HeartRails Geo API
4030005 山梨県富士吉田市上吉田2-5-1富士急ﾀｰﾐﾅﾙﾋﾞﾙ,35.478459,138.797164,山梨県富士吉田市上吉田,4030005,HeartRails Geo API
3700043 群馬県高崎市高関町429-2,36.326717,139.028793,群馬県高崎市高関町,3700043,HeartRails Geo API
7200814 広島県福山市光南町3-7-46,34.478723,133.367119,広島県福山市光南町,7200814,HeartRails Geo API
8060021 福岡県北九州市八幡西区黒崎4-1-5南大門ﾋﾞﾙ1F,33.864574,130.765377,福岡県北九州市八幡西区黒崎,8060021,HeartRails Geo API
3710801 群馬県前橋市文京町2-28-17,36.379191,139.084932,群馬県前橋市文京町,3710801,HeartRails Geo API
2880048 千葉県銚子市双葉町6-11,35.733134,140.829723,千葉県銚子市双葉町,2880048,HeartRails Geo API
3260021 栃木県足利市山川町676-1,36.323427,139.479775,栃木県足利市山川町,3260021,HeartRails Geo API
2110013 神奈川県川崎市中原区上平間1955,35.55896,139.676384,神奈川県川崎市中原区上平間,2110013,HeartRails Geo API
6712545 兵庫県宍粟市山崎町中井10,34.998473,134.540036,兵庫県宍粟市山崎町中井,6712545,HeartRails Geo API
8420031 佐賀県神埼郡吉野ヶ里町大字吉田779-1,33.332687,130.405109,佐賀県神埼郡吉野ヶ里町吉田,8420031,HeartRails Geo API
7220014 広島県尾道市新浜1-8-27,34.401186,133.179895,広島県尾道市新浜,7220014,HeartRails Geo API
6930058 島根県出雲市矢野町999,35.380524,132.735705,島根県出雲市矢野町,6930058,HeartRails Geo API
9330014 富山県高岡市野村365ｻﾝｴｲﾊｲﾂ1F,36.747634,137.041076,富山県高岡市野村,9330014,HeartRails Geo API
0900044 北海道北見市北4条西3丁目1-2伊谷ﾋﾞﾙ1F,43.803734,143.891138,北海道北見市北四条西,0900044,HeartRails Geo API
8800035 宮崎県宮崎市下北方町平田903-3,31.94538,131.419132,宮崎県宮崎市下北方町,8800035,HeartRails Geo API
2500874 神奈川県小田原市鴨宮635-1,35.278765,139.17732,神奈川県小田原市鴨宮,2500874,HeartRails Geo API
9240865 石川県白山市倉光10-166,36.514017,136.568179,石川県白山市倉光,9240865,HeartRails Geo API
5720827 大阪府寝屋川市萱島本町18-2,34.746786,135.613367,大阪府寝屋川市萱島本町,5720827,HeartRails Geo API
6800913 鳥取県鳥取市安長394,35.510415,134.207216,鳥取県鳥取市安長,6800913,HeartRails Geo API
1680063 東京都杉並区和泉3-13-19,35.676204,139.6523,東京都杉並区和泉,1680063,HeartRails Geo API
4850048 愛知県小牧市間々本町294,35.295652,136.909208,愛知県小牧市間々本町,4850048,HeartRails Geo API
5008876 岐阜県岐阜市日ﾉ出町2-19,35.418965,136.75653,岐阜県岐阜市日ノ出町,5008876,HeartRails Geo API
4640841 愛知県名古屋市千種区覚王山通7-11ﾁｶｼﾝ池下,35.166978,136.947873,愛知県名古屋市千種区覚王山通,4640841,HeartRails Geo API
8100044 福岡県福岡市中央区六本松2-14-18九大教養部前,33.578167,130.379425,福岡県福岡市中央区六本松,8100044,HeartRails Geo API
6820021 鳥取県倉吉市上井359-1,35.454167,133.843657,鳥取県倉吉市上井,6820021,HeartRails Geo API
4170058 静岡県富士市永田北町4-5,35.164082,138.676737,静岡県富士市永田北町,4170058,HeartRails Geo API
3700802 群馬県高崎市並榎町49-1,36.336351,138.995175,群馬県高崎市並榎町,3700802,HeartRails Geo API
9020075 沖縄県那覇市字国場977-1,26.198017,127.698292,沖縄県那覇市国場,9020075,HeartRails Geo API
1740071 東京都板橋区常盤台2-5-23常盤台ﾋﾞﾙ1F,35.762039,139.686094,東京都板橋区常盤台,1740071,HeartRails Geo API
4110902 静岡県駿東郡清水町玉川61-2,35.108209,138.90515,静岡県駿東郡清水町玉川,4110902,HeartRails Geo API
8090019 福岡県中間市東中間1-2-10,33.819767,130.718241,福岡県中間市東中間,8090019,HeartRails Geo API
2580019 神奈川県足柄上郡大井町金子95-9,35.333979,139.152447,神奈川県足柄上郡大井町金子,2580019,HeartRails Geo API
3710037 群馬県前橋市上小出町2-40-12,36.414871,139.058369,群馬県前橋市上小出町,3710037,HeartRails Geo API
4580033 愛知県名古屋市緑区相原郷2-1501,35.080066,136.968553,愛知県名古屋市緑区相原郷,4580033,HeartRails Geo API
3700517 群馬県邑楽郡大泉町西小泉4-2-10,36.256873,139.410606,群馬県邑楽郡大泉町西小泉,3700517,HeartRails Geo API
9010154 沖縄県那覇市赤嶺1-1-4,26.193639,127.660196,沖縄県那覇市赤嶺,9010154,HeartRails Geo API
1710043 東京都豊島区要町3-12-1,35.736306,139.692312,東京都豊島区要町,1710043,HeartRails Geo API
4880011 愛知県尾張旭市東栄町1-7-16,35.219378,137.053023,愛知県尾張旭市東栄町,4880011,HeartRails Geo API
3360017 埼玉県さいたま市南区南浦和2-40-1,35.847763,139.672983,埼玉県さいたま市南区南浦和,3360017,HeartRails Geo API
5108102 三重県三重郡朝日町大字小向347-4,35.038798,136.663495,三重県三重郡朝日町小向,5108102,HeartRails Geo API
2591132 神奈川県伊勢原市桜台1-1-43小田急ﾏﾙｼｪ伊勢原,35.392602,139.317461,神奈川県伊勢原市桜台,2591132,HeartRails Geo API
9902321 山形県山形市桜田西2-1-7,38.219989,140.315404,山形県山形市桜田西,9902321,HeartRails Geo API
2430035 神奈川県厚木市愛甲2-10-6,35.422324,139.343545,神奈川県厚木市愛甲,2430035,HeartRails Geo API
0350071 青森県むつ市小川町1-8-28,41.297739,141.206416,青森県むつ市小川町,0350071,HeartRails Geo API
3740016 群馬県館林市松原1-21-18,36.237125,139.542429,群馬県館林市松原,3740016,HeartRails Geo API
0470032 北海道小樽市稲穂2-16-3,43.199372,140.995122,北海道小樽市稲穂,0470032,HeartRails Geo API
2130013 神奈川県川崎市高津区末長1-8-20,35.590381,139.615656,神奈川県川崎市高津区末長,2130013,HeartRails Geo API
0010040 北海道札幌市北区北40条西4丁目2-10,43.108792,141.337191,北海道札幌市北区北四十条西,0010040,HeartRails Geo API
8391202 福岡県久留米市田主丸町鷹取458-1,33.343977,130.727485,福岡県久留米市田主丸町鷹取,8391202,HeartRails Geo API
0530021 北海道苫小牧市若草町5-3-5,42.639345,141.605373,北海道苫小牧市若草町,0530021,HeartRails Geo API
5610853 大阪府豊中市服部南町1-3-6,34.760135,135.477115,大阪府豊中市服部南町,5610853,HeartRails Geo API
9660057 福島県喜多方市字井戸尻4129-1,37.6506497,139.8814137,福島県喜多方市井戸尻,9660057,HeartRails Geo API
5990202 大阪府阪南市下出720-5,34.360179,135.246813,大阪府阪南市下出,5990202,HeartRails Geo API
1620045 東京都新宿区馬場下町10,35.706232,139.719513,東京都新宿区馬場下町,1620045,HeartRails Geo API
4600008 愛知県名古屋市中区栄5-1-5,35.166558,136.905118,愛知県名古屋市中区栄,4600008,HeartRails Geo API
2980003 千葉県いすみ市深堀1620-3,35.257799,140.391382,千葉県いすみ市深堀,2980003,HeartRails Geo API
4750903 愛知県半田市出口町1-153,34.903506,136.921638,愛知県半田市出口町,4750903,HeartRails Geo API
4228065 静岡県静岡市駿河区宮本町1-8,34.96501,138.383455,静岡県静岡市駿河区宮本町,4228065,HeartRails Geo API
7210907 広島県福山市春日町5-1-7,34.508912,133.411672,広島県福山市春日町,7210907,HeartRails Geo API
0070849 北海道札幌市東区北49条東8-2-1,43.120971,141.356259,北海道札幌市東区北四十九条東,0070849,HeartRails Geo API
9420004 新潟県上越市西本町3-9-3,37.171319,138.238711,新潟県上越市西本町,9420004,HeartRails Geo API
3900803 長野県松本市元町2-1-16,36.244054,137.982077,長野県松本市元町,3900803,HeartRails Geo API
5630024 大阪府池田市鉢塚2-13-8,34.816744,135.438023,大阪府池田市鉢塚,5630024,HeartRails Geo API
9940021 山形県天童市大字山元2588,38.361013,140.389171,山形県天童市山元,9940021,HeartRails Geo API
2210865 神奈川県横浜市神奈川区片倉1-24-8,35.489623,139.605491,神奈川県横浜市神奈川区片倉,2210865,HeartRails Geo API
6511412 兵庫県西宮市山口町下山口2-1-4,34.833484,135.239956,兵庫県西宮市山口町下山口,6511412,HeartRails Geo API
4440124 愛知県額田郡幸田町大字深溝字中池田53,34.834917,137.177478,愛知県額田郡幸田町深溝,4440124,HeartRails Geo API
2892504 千葉県旭市ﾆ233-1,35.715437,140.638755,千葉県旭市ニ,2892504,HeartRails Geo API
3370051 埼玉県さいたま市見沼区東大宮6-158-1,35.9479,139.639976,埼玉県さいたま市見沼区東大宮,3370051,HeartRails Geo API
2470005 神奈川県横浜市栄区桂町274-23,35.363293,139.549766,神奈川県横浜市栄区桂町,2470005,HeartRails Geo API
2630023 千葉県千葉市稲毛区緑町1-26-6,35.624439,140.097588,千葉県千葉市稲毛区緑町,2630023,HeartRails Geo API
5330013 大阪府大阪市東淀川区豊里7-34-7,34.740361,135.540562,大阪府大阪市東淀川区豊里,5330013,HeartRails Geo API
3260823 栃木県足利市朝倉町3-8-1,36.318875,139.445918,栃木県足利市朝倉町,3260823,HeartRails Geo API
4910921 愛知県一宮市妙興寺2-2-15,35.286857,136.801756,愛知県一宮市妙興寺,4910921,HeartRails Geo API
8740919 大分県別府市石垣東10-6-6,33.297299,131.497227,大分県別府市石垣東,8740919,HeartRails Geo API
4901114 愛知県あま市下萱津九反田52,35.180606,136.838137,愛知県あま市下萱津,4901114,HeartRails Geo API
4450811 愛知県西尾市道光寺町天王下11-33,34.872325,137.05908,愛知県西尾市道光寺町,4450811,HeartRails Geo API
5640082 大阪府吹田市片山町1-3-5,34.767983,135.523248,大阪府吹田市片山町,5640082,HeartRails Geo API
9060012 沖縄県宮古島市平良字西里1000-12,24.796466,125.291694,沖縄県宮古島市平良西里,9060012,HeartRails Geo API
0530833 北海道苫小牧市日新町2-1-35,42.630148,141.538336,北海道苫小牧市日新町,0530833,HeartRails Geo API
2710046 千葉県松戸市西馬橋蔵元町8篠崎西馬橋ﾏﾝｼｮﾝ,35.813394,139.914511,千葉県松戸市西馬橋蔵元町,2710046,HeartRails Geo API
9900832 山形県山形市城西町5-35-62,38.25803,140.3204,山形県山形市城西町,9900832,HeartRails Geo API
1420063 東京都品川区荏原4-1-3,35.615495,139.706703,東京都品川区荏原,1420063,HeartRails Geo API
1640013 東京都中野区弥生町2-52-5,35.688516,139.670957,東京都中野区弥生町,1640013,HeartRails Geo API
5030804 岐阜県大垣市中ﾉ江2-37-4,35.365729,136.643381,岐阜県大垣市中ノ江,5030804,HeartRails Geo API
4420808 愛知県豊川市豊が丘町73,34.837189,137.408636,愛知県豊川市豊が丘町,4420808,HeartRails Geo API
3760013 群馬県桐生市広沢町4-2459,36.379027,139.338523,群馬県桐生市広沢町,3760013,HeartRails Geo API
0802469 北海道帯広市西19条南3-4-12,42.905634,143.160671,北海道帯広市西十九条南,0802469,HeartRails Geo API
7230014 広島県三原市城町2-13-30,34.398326,133.085189,広島県三原市城町,7230014,HeartRails Geo API
9521307 新潟県佐渡市東大通828-1,38.010256,138.338598,新潟県佐渡市東大通,9521307,HeartRails Geo API
3330811 埼玉県川口市戸塚2-22-1,35.867717,139.747449,埼玉県川口市戸塚,3330811,HeartRails Geo API
8111251 福岡県那珂川市松木1-69,33.507898,130.436174,福岡県那珂川市松木,8111251,HeartRails Geo API
0870006 北海道根室市曙町3-5ｺｰﾌﾟ内,43.3320231,145.5933976,北海道根室市曙町,0870006,HeartRails Geo API
2310804 神奈川県横浜市中区本牧宮原1-39,35.428509,139.665009,神奈川県横浜市中区本牧宮原,2310804,HeartRails Geo API
7900051 愛媛県松山市生石町153,33.833195,132.741865,愛媛県松山市生石町,7900051,HeartRails Geo API
2320024 神奈川県横浜市南区浦舟町2-23-6,35.434421,139.625971,神奈川県横浜市南区浦舟町,2320024,HeartRails Geo API
